"","Symbol","ensembl_id","top50","max_PropZero","PropZero_filter","rank_invar","Gene Type","t"
"10032","UBE2A","ENSG00000077721",TRUE,0.935483870967742,FALSE,NA,NA,56.1394512955677
"10033","NKRF","ENSG00000186416",TRUE,0.96875,FALSE,NA,NA,59.7892685769594
"10034","SEPT6","ENSG00000125354",TRUE,1,FALSE,NA,NA,52.2872025862705
"10035","RPL39","ENSG00000198918",FALSE,NA,FALSE,NA,NA,16.5701602391281
"10036","UPF3B","ENSG00000125351",TRUE,0.878787878787879,FALSE,NA,NA,82.1516941097583
"10037","RNF113A","ENSG00000125352",FALSE,NA,FALSE,NA,NA,20.3388092456834
"10038","NDUFA1","ENSG00000125356",TRUE,0.966494845360825,FALSE,NA,NA,41.7551416069041
"10039","AKAP14","ENSG00000186471",FALSE,NA,FALSE,NA,NA,22.6302720740392
"10040","NKAP","ENSG00000101882",TRUE,0.947704081632653,FALSE,NA,NA,55.6680887686828
"10041","RHOXF1-AS1","ENSG00000258545",TRUE,0.958265405934138,FALSE,NA,NA,58.5802874211968
"10042","RHOXF1","ENSG00000101883",FALSE,NA,FALSE,NA,NA,17.5230668492823
"10043","LINC01402","ENSG00000228139",FALSE,NA,FALSE,NA,NA,13.1542335450769
"10044","ZBTB33","ENSG00000177485",FALSE,NA,FALSE,NA,NA,30.2975907714358
"10045","TMEM255A","ENSG00000125355",FALSE,NA,FALSE,NA,NA,29.2053587021182
"10046","LAMP2","ENSG00000005893",TRUE,0.903225806451613,FALSE,NA,NA,120.673914714224
"10047","CUL4B","ENSG00000158290",TRUE,0.967741935483871,FALSE,NA,NA,76.2949515854419
"10048","MCTS1","ENSG00000232119",TRUE,0.939393939393939,FALSE,NA,NA,84.9023086202702
"10049","C1GALT1C1","ENSG00000171155",FALSE,NA,FALSE,NA,NA,26.621966162052
"10050","GLUD2","ENSG00000182890",FALSE,NA,FALSE,NA,NA,25.2818591457377
"10051","AL359851.1","ENSG00000260585",FALSE,NA,FALSE,NA,NA,34.9989087107883
"10052","GRIA3","ENSG00000125675",TRUE,1,FALSE,NA,NA,138.253090840609
"10053","THOC2","ENSG00000125676",TRUE,0.59020618556701,TRUE,860,NA,138.8545373474
"10054","XIAP","ENSG00000101966",TRUE,0.818181818181818,FALSE,NA,NA,96.8830523411467
"10055","AL121601.1","ENSG00000232412",FALSE,NA,FALSE,NA,NA,11.6835403483666
"10056","STAG2","ENSG00000101972",TRUE,0.59079283887468,TRUE,691,NA,128.39623091
"10057","TENM1","ENSG00000009694",TRUE,1,FALSE,NA,NA,80.4100312472697
"10058","DCAF12L2","ENSG00000198354",FALSE,NA,FALSE,NA,NA,10.6987563354789
"10059","AL442647.1","ENSG00000225689",TRUE,1,FALSE,NA,NA,56.1778506751882
"10060","SMARCA1","ENSG00000102038",TRUE,1,FALSE,NA,NA,99.5047664377131
"10061","OCRL","ENSG00000122126",TRUE,0.984848484848485,FALSE,NA,NA,77.9907228494156
"10062","APLN","ENSG00000171388",FALSE,NA,FALSE,NA,NA,16.6262449409692
"10063","XPNPEP2","ENSG00000122121",FALSE,NA,FALSE,NA,NA,11.7976756785953
"10064","SASH3","ENSG00000122122",FALSE,NA,FALSE,NA,NA,14.7672973392361
"10065","ZDHHC9","ENSG00000188706",TRUE,0.984848484848485,FALSE,NA,NA,85.056175320401
"10066","AL034405.1","ENSG00000235189",TRUE,1,FALSE,NA,NA,32.0116500596585
"10067","UTP14A","ENSG00000156697",TRUE,0.96969696969697,FALSE,NA,NA,52.8574639749532
"10068","BCORL1","ENSG00000085185",TRUE,1,FALSE,NA,NA,46.9720351494056
"10069","ELF4","ENSG00000102034",FALSE,NA,FALSE,NA,NA,16.6341496497091
"10070","AIFM1","ENSG00000156709",TRUE,0.96875,FALSE,NA,NA,62.6567400194676
"10071","RAB33A","ENSG00000134594",TRUE,1,FALSE,NA,NA,29.8136912926066
"10072","ZNF280C","ENSG00000056277",TRUE,1,FALSE,NA,NA,63.7712919260545
"10073","SLC25A14","ENSG00000102078",TRUE,1,FALSE,NA,NA,57.7780690692054
"10074","RBMX2","ENSG00000134597",TRUE,1,FALSE,NA,NA,49.2280526392931
"10075","ENOX2","ENSG00000165675",TRUE,0.850383631713555,FALSE,NA,NA,81.9104924914928
"10076","LINC01201","ENSG00000228659",FALSE,NA,FALSE,NA,NA,6.86308999581685
"10077","ARHGAP36","ENSG00000147256",FALSE,NA,FALSE,NA,NA,8.65879245124226
"10078","IGSF1","ENSG00000147255",FALSE,NA,FALSE,NA,NA,24.4199533752322
"10079","FIRRE","ENSG00000213468",TRUE,1,FALSE,NA,NA,44.8690386092231
"10080","STK26","ENSG00000134602",FALSE,NA,FALSE,NA,NA,24.6376444279305
"10081","FRMD7","ENSG00000165694",FALSE,NA,FALSE,NA,NA,3.59783755681532
"10082","RAP2C","ENSG00000123728",FALSE,NA,FALSE,NA,NA,32.4261296564831
"10083","RAP2C-AS1","ENSG00000232160",TRUE,0.935483870967742,FALSE,NA,NA,48.7958446250175
"10084","MBNL3","ENSG00000076770",TRUE,1,FALSE,NA,NA,32.8320998519983
"10085","HS6ST2","ENSG00000171004",TRUE,1,FALSE,NA,NA,73.6138171623513
"10086","USP26","ENSG00000134588",FALSE,NA,FALSE,NA,NA,10.3047475405765
"10087","GPC4","ENSG00000076716",TRUE,1,FALSE,NA,NA,38.5219741771825
"10088","GPC3","ENSG00000147257",FALSE,NA,FALSE,NA,NA,28.7105109907393
"10089","CCDC160","ENSG00000203952",FALSE,NA,FALSE,NA,NA,16.3067656001114
